unique_id,ds,Chronos
hotel_0,2023-07-01,0.7972443
hotel_0,2023-07-02,0.67212176
hotel_0,2023-07-03,0.64218235
hotel_0,2023-07-04,0.6847838
hotel_0,2023-07-05,0.74063826
hotel_0,2023-07-06,0.7949665
hotel_0,2023-07-07,0.8421245
hotel_0,2023-07-08,0.8633702
hotel_0,2023-07-09,0.76423
hotel_0,2023-07-10,0.75845116
hotel_0,2023-07-11,0.8016879
hotel_0,2023-07-12,0.82422805
hotel_0,2023-07-13,0.83255714
hotel_0,2023-07-14,0.8477006
hotel_0,2023-07-15,0.83010846
hotel_0,2023-07-16,0.68339086
hotel_0,2023-07-17,0.64324534
hotel_0,2023-07-18,0.6757723
hotel_0,2023-07-19,0.71786517
hotel_0,2023-07-20,0.76606053
hotel_0,2023-07-21,0.8050324
hotel_0,2023-07-22,0.81365186
hotel_0,2023-07-23,0.70255446
hotel_0,2023-07-24,0.67747116
hotel_0,2023-07-25,0.6961906
hotel_0,2023-07-26,0.7238777
hotel_0,2023-07-27,0.7557322
hotel_0,2023-07-28,0.7967408
hotel_105,2023-07-01,0.9959448
hotel_105,2023-07-02,0.9867053
hotel_105,2023-07-03,0.988252
hotel_105,2023-07-04,1.0023888
hotel_105,2023-07-05,1.0148566
hotel_105,2023-07-06,1.0161811
hotel_105,2023-07-07,1.0105523
hotel_105,2023-07-08,1.0005636
hotel_105,2023-07-09,0.99169314
hotel_105,2023-07-10,0.9957021
hotel_105,2023-07-11,1.0080059
hotel_105,2023-07-12,1.0196098
hotel_105,2023-07-13,1.018098
hotel_105,2023-07-14,1.0061991
hotel_105,2023-07-15,0.9885727
hotel_105,2023-07-16,0.97844803
hotel_105,2023-07-17,0.98043644
hotel_105,2023-07-18,0.9942719
hotel_105,2023-07-19,1.0037708
hotel_105,2023-07-20,1.0007386
hotel_105,2023-07-21,0.99435425
hotel_105,2023-07-22,0.9866263
hotel_105,2023-07-23,0.97703314
hotel_105,2023-07-24,0.97785753
hotel_105,2023-07-25,0.9939499
hotel_105,2023-07-26,1.0070711
hotel_105,2023-07-27,1.0034587
hotel_105,2023-07-28,0.9963373
hotel_112,2023-07-01,0.925869
hotel_112,2023-07-02,0.92373395
hotel_112,2023-07-03,0.92418116
hotel_112,2023-07-04,0.92789996
hotel_112,2023-07-05,0.92971176
hotel_112,2023-07-06,0.9302907
hotel_112,2023-07-07,0.92176217
hotel_112,2023-07-08,0.9165155
hotel_112,2023-07-09,0.9180118
hotel_112,2023-07-10,0.9270661
hotel_112,2023-07-11,0.9310225
hotel_112,2023-07-12,0.92895645
hotel_112,2023-07-13,0.9186208
hotel_112,2023-07-14,0.90565014
hotel_112,2023-07-15,0.89146894
hotel_112,2023-07-16,0.88461816
hotel_112,2023-07-17,0.8884051
hotel_112,2023-07-18,0.8978817
hotel_112,2023-07-19,0.8969151
hotel_112,2023-07-20,0.89769745
hotel_112,2023-07-21,0.897821
hotel_112,2023-07-22,0.89906275
hotel_112,2023-07-23,0.89765346
hotel_112,2023-07-24,0.9017793
hotel_112,2023-07-25,0.90567017
hotel_112,2023-07-26,0.9110208
hotel_112,2023-07-27,0.9117937
hotel_112,2023-07-28,0.9087275
hotel_126,2023-07-01,1.0024445
hotel_126,2023-07-02,1.0039184
hotel_126,2023-07-03,1.0032258
hotel_126,2023-07-04,1.0022582
hotel_126,2023-07-05,1.0045304
hotel_126,2023-07-06,1.007419
hotel_126,2023-07-07,1.0078661
hotel_126,2023-07-08,1.0069962
hotel_126,2023-07-09,1.0055763
hotel_126,2023-07-10,1.0049425
hotel_126,2023-07-11,1.0048311
hotel_126,2023-07-12,1.0050015
hotel_126,2023-07-13,1.0050962
hotel_126,2023-07-14,1.0039016
hotel_126,2023-07-15,1.0021713
hotel_126,2023-07-16,1.0018911
hotel_126,2023-07-17,1.0012616
hotel_126,2023-07-18,0.9999206
hotel_126,2023-07-19,1.0000414
hotel_126,2023-07-20,1.0013065
hotel_126,2023-07-21,0.999435
hotel_126,2023-07-22,0.99888825
hotel_126,2023-07-23,1.0001122
hotel_126,2023-07-24,0.999636
hotel_126,2023-07-25,0.9999151
hotel_126,2023-07-26,1.0010867
hotel_126,2023-07-27,1.001135
hotel_126,2023-07-28,0.9999945
hotel_133,2023-07-01,0.9800898
hotel_133,2023-07-02,0.91126853
hotel_133,2023-07-03,0.90507716
hotel_133,2023-07-04,0.92224485
hotel_133,2023-07-05,0.9379198
hotel_133,2023-07-06,0.9735966
hotel_133,2023-07-07,1.0202242
hotel_133,2023-07-08,1.0261846
hotel_133,2023-07-09,0.96035993
hotel_133,2023-07-10,0.9499285
hotel_133,2023-07-11,0.9604033
hotel_133,2023-07-12,0.9652902
hotel_133,2023-07-13,0.9723184
hotel_133,2023-07-14,0.9940984
hotel_133,2023-07-15,0.9854589
hotel_133,2023-07-16,0.9083489
hotel_133,2023-07-17,0.89947593
hotel_133,2023-07-18,0.92707324
hotel_133,2023-07-19,0.9428985
hotel_133,2023-07-20,0.9598545
hotel_133,2023-07-21,0.9928824
hotel_133,2023-07-22,0.9950086
hotel_133,2023-07-23,0.9232304
hotel_133,2023-07-24,0.91011465
hotel_133,2023-07-25,0.92367786
hotel_133,2023-07-26,0.93869483
hotel_133,2023-07-27,0.95816785
hotel_133,2023-07-28,0.9867348
hotel_14,2023-07-01,0.6086642
hotel_14,2023-07-02,0.48771036
hotel_14,2023-07-03,0.5489164
hotel_14,2023-07-04,0.63988733
hotel_14,2023-07-05,0.68036306
hotel_14,2023-07-06,0.67063344
hotel_14,2023-07-07,0.6946286
hotel_14,2023-07-08,0.7056943
hotel_14,2023-07-09,0.5694448
hotel_14,2023-07-10,0.6188182
hotel_14,2023-07-11,0.7025723
hotel_14,2023-07-12,0.726829
hotel_14,2023-07-13,0.6981152
hotel_14,2023-07-14,0.70876896
hotel_14,2023-07-15,0.71711856
hotel_14,2023-07-16,0.5697806
hotel_14,2023-07-17,0.6132202
hotel_14,2023-07-18,0.69915265
hotel_14,2023-07-19,0.7307039
hotel_14,2023-07-20,0.6963393
hotel_14,2023-07-21,0.6997012
hotel_14,2023-07-22,0.70502484
hotel_14,2023-07-23,0.5620824
hotel_14,2023-07-24,0.6035822
hotel_14,2023-07-25,0.6878203
hotel_14,2023-07-26,0.7209987
hotel_14,2023-07-27,0.6985035
hotel_14,2023-07-28,0.7111571
hotel_21,2023-07-01,0.9506306
hotel_21,2023-07-02,0.958559
hotel_21,2023-07-03,0.965828
hotel_21,2023-07-04,0.97209686
hotel_21,2023-07-05,0.9747735
hotel_21,2023-07-06,0.97918516
hotel_21,2023-07-07,0.9792587
hotel_21,2023-07-08,0.97940534
hotel_21,2023-07-09,0.9789901
hotel_21,2023-07-10,0.98017365
hotel_21,2023-07-11,0.97841793
hotel_21,2023-07-12,0.97713214
hotel_21,2023-07-13,0.97652566
hotel_21,2023-07-14,0.9765153
hotel_21,2023-07-15,0.9746939
hotel_21,2023-07-16,0.9750456
hotel_21,2023-07-17,0.9756874
hotel_21,2023-07-18,0.97733736
hotel_21,2023-07-19,0.97535336
hotel_21,2023-07-20,0.9769251
hotel_21,2023-07-21,0.97616726
hotel_21,2023-07-22,0.97579247
hotel_21,2023-07-23,0.9735035
hotel_21,2023-07-24,0.9714768
hotel_21,2023-07-25,0.9709179
hotel_21,2023-07-26,0.9713627
hotel_21,2023-07-27,0.9733098
hotel_21,2023-07-28,0.9744679
hotel_35,2023-07-01,0.72115636
hotel_35,2023-07-02,0.7363577
hotel_35,2023-07-03,0.76063764
hotel_35,2023-07-04,0.77345145
hotel_35,2023-07-05,0.77271986
hotel_35,2023-07-06,0.7576904
hotel_35,2023-07-07,0.73229295
hotel_35,2023-07-08,0.71548194
hotel_35,2023-07-09,0.720536
hotel_35,2023-07-10,0.73635125
hotel_35,2023-07-11,0.74387085
hotel_35,2023-07-12,0.7339564
hotel_35,2023-07-13,0.7161352
hotel_35,2023-07-14,0.6898445
hotel_35,2023-07-15,0.6781319
hotel_35,2023-07-16,0.69066817
hotel_35,2023-07-17,0.71523595
hotel_35,2023-07-18,0.72846705
hotel_35,2023-07-19,0.72864103
hotel_35,2023-07-20,0.7189971
hotel_35,2023-07-21,0.70417047
hotel_35,2023-07-22,0.6992256
hotel_35,2023-07-23,0.7140577
hotel_35,2023-07-24,0.73095715
hotel_35,2023-07-25,0.7489724
hotel_35,2023-07-26,0.7508914
hotel_35,2023-07-27,0.7386982
hotel_35,2023-07-28,0.7161497
hotel_42,2023-07-01,0.70015424
hotel_42,2023-07-02,0.6514026
hotel_42,2023-07-03,0.6249562
hotel_42,2023-07-04,0.6349938
hotel_42,2023-07-05,0.63438797
hotel_42,2023-07-06,0.63634837
hotel_42,2023-07-07,0.63022715
hotel_42,2023-07-08,0.6309317
hotel_42,2023-07-09,0.5977519
hotel_42,2023-07-10,0.5885165
hotel_42,2023-07-11,0.6054805
hotel_42,2023-07-12,0.6203593
hotel_42,2023-07-13,0.6261642
hotel_42,2023-07-14,0.62460774
hotel_42,2023-07-15,0.60405946
hotel_42,2023-07-16,0.57678896
hotel_42,2023-07-17,0.57044256
hotel_42,2023-07-18,0.58833677
hotel_42,2023-07-19,0.5829437
hotel_42,2023-07-20,0.5782517
hotel_42,2023-07-21,0.5721811
hotel_42,2023-07-22,0.5742079
hotel_42,2023-07-23,0.55693287
hotel_42,2023-07-24,0.54507184
hotel_42,2023-07-25,0.5617393
hotel_42,2023-07-26,0.5860364
hotel_42,2023-07-27,0.610356
hotel_42,2023-07-28,0.636919
hotel_49,2023-07-01,0.6540836
hotel_49,2023-07-02,0.6490504
hotel_49,2023-07-03,0.6479968
hotel_49,2023-07-04,0.6495012
hotel_49,2023-07-05,0.65539026
hotel_49,2023-07-06,0.65885365
hotel_49,2023-07-07,0.65882933
hotel_49,2023-07-08,0.6593347
hotel_49,2023-07-09,0.65709174
hotel_49,2023-07-10,0.6572194
hotel_49,2023-07-11,0.6556834
hotel_49,2023-07-12,0.6498565
hotel_49,2023-07-13,0.6455592
hotel_49,2023-07-14,0.6473291
hotel_49,2023-07-15,0.6493623
hotel_49,2023-07-16,0.6453372
hotel_49,2023-07-17,0.64760506
hotel_49,2023-07-18,0.65497416
hotel_49,2023-07-19,0.65798086
hotel_49,2023-07-20,0.6555835
hotel_49,2023-07-21,0.6517688
hotel_49,2023-07-22,0.65281135
hotel_49,2023-07-23,0.65783346
hotel_49,2023-07-24,0.65793276
hotel_49,2023-07-25,0.65653867
hotel_49,2023-07-26,0.65533674
hotel_49,2023-07-27,0.6567472
hotel_49,2023-07-28,0.6550328
hotel_56,2023-07-01,0.97541684
hotel_56,2023-07-02,0.9647424
hotel_56,2023-07-03,0.96968687
hotel_56,2023-07-04,0.9805138
hotel_56,2023-07-05,0.9863201
hotel_56,2023-07-06,0.9854483
hotel_56,2023-07-07,0.9911581
hotel_56,2023-07-08,0.9859815
hotel_56,2023-07-09,0.968067
hotel_56,2023-07-10,0.969875
hotel_56,2023-07-11,0.97992945
hotel_56,2023-07-12,0.9776175
hotel_56,2023-07-13,0.9744745
hotel_56,2023-07-14,0.97992396
hotel_56,2023-07-15,0.9765298
hotel_56,2023-07-16,0.9583146
hotel_56,2023-07-17,0.9628547
hotel_56,2023-07-18,0.97469234
hotel_56,2023-07-19,0.9790063
hotel_56,2023-07-20,0.97813845
hotel_56,2023-07-21,0.98232216
hotel_56,2023-07-22,0.97524416
hotel_56,2023-07-23,0.95767707
hotel_56,2023-07-24,0.96058315
hotel_56,2023-07-25,0.9771667
hotel_56,2023-07-26,0.98459435
hotel_56,2023-07-27,0.9822797
hotel_56,2023-07-28,0.9831431
hotel_63,2023-07-01,0.9356999
hotel_63,2023-07-02,0.75639194
hotel_63,2023-07-03,0.74362266
hotel_63,2023-07-04,0.796067
hotel_63,2023-07-05,0.84281003
hotel_63,2023-07-06,0.874252
hotel_63,2023-07-07,0.9453182
hotel_63,2023-07-08,0.97689784
hotel_63,2023-07-09,0.7987714
hotel_63,2023-07-10,0.7795443
hotel_63,2023-07-11,0.8369218
hotel_63,2023-07-12,0.8797724
hotel_63,2023-07-13,0.9052622
hotel_63,2023-07-14,0.9668331
hotel_63,2023-07-15,0.9947027
hotel_63,2023-07-16,0.8014517
hotel_63,2023-07-17,0.778694
hotel_63,2023-07-18,0.82348925
hotel_63,2023-07-19,0.86418474
hotel_63,2023-07-20,0.89446324
hotel_63,2023-07-21,0.9660586
hotel_63,2023-07-22,0.9903803
hotel_63,2023-07-23,0.7992588
hotel_63,2023-07-24,0.7686337
hotel_63,2023-07-25,0.8131249
hotel_63,2023-07-26,0.85549545
hotel_63,2023-07-27,0.8855851
hotel_63,2023-07-28,0.94948506
hotel_7,2023-07-01,0.56729543
hotel_7,2023-07-02,0.51565564
